Date,Open,High,Low,Close*,Adj Close**,Volume
21-Apr-22,"4,489.17","4,512.94","4,384.47","4,393.66","4,393.66","3,833,570,000"
20-Apr-22,"4,472.26","4,488.29","4,448.76","4,459.45","4,459.45","3,678,040,000"
19-Apr-22,"4,390.63","4,471.03","4,390.63","4,462.21","4,462.21","3,197,930,000"
18-Apr-22,"4,385.63","4,410.31","4,370.30","4,391.69","4,391.69","3,509,340,000"
14-Apr-22,"4,449.12","4,460.46","4,390.77","4,392.59","4,392.59","3,634,740,000"
13-Apr-22,"4,394.30","4,453.92","4,392.70","4,446.59","4,446.59","3,273,140,000"
12-Apr-22,"4,437.59","4,471.00","4,381.34","4,397.45","4,397.45","3,451,990,000"
11-Apr-22,"4,462.64","4,464.35","4,408.38","4,412.53","4,412.53","3,452,540,000"
8-Apr-22,"4,494.15","4,520.41","4,474.60","4,488.28","4,488.28","3,453,040,000"
7-Apr-22,"4,474.65","4,521.16","4,450.30","4,500.21","4,500.21","4,054,010,000"
6-Apr-22,"4,494.17","4,503.94","4,450.04","4,481.15","4,481.15","4,137,080,000"
5-Apr-22,"4,572.45","4,593.45","4,514.17","4,525.12","4,525.12","3,906,230,000"
4-Apr-22,"4,547.97","4,583.50","4,539.21","4,582.64","4,582.64","3,833,500,000"
1-Apr-22,"4,540.32","4,548.70","4,507.57","4,545.86","4,545.86","3,828,290,000"
31-Mar-22,"4,599.02","4,603.07","4,530.41","4,530.41","4,530.41","3,782,040,000"
30-Mar-22,"4,624.20","4,627.77","4,581.32","4,602.45","4,602.45","3,665,390,000"
29-Mar-22,"4,602.86","4,637.30","4,589.66","4,631.60","4,631.60","4,239,660,000"
28-Mar-22,"4,541.09","4,575.65","4,517.69","4,575.52","4,575.52","3,696,850,000"
25-Mar-22,"4,522.91","4,546.03","4,501.07","4,543.06","4,543.06","3,577,520,000"
24-Mar-22,"4,469.98","4,520.58","4,465.17","4,520.16","4,520.16","3,573,430,000"
23-Mar-22,"4,493.10","4,501.07","4,455.81","4,456.24","4,456.24","4,014,360,000"
22-Mar-22,"4,469.10","4,522.00","4,469.10","4,511.61","4,511.61","3,962,880,000"
21-Mar-22,"4,462.40","4,481.75","4,424.30","4,461.18","4,461.18","3,961,050,000"
18-Mar-22,"4,407.34","4,465.40","4,390.57","4,463.12","4,463.12","6,681,510,000"
17-Mar-22,"4,345.11","4,412.67","4,335.65","4,411.67","4,411.67","4,174,170,000"
16-Mar-22,"4,288.14","4,358.90","4,251.99","4,357.86","4,357.86","5,002,240,000"
15-Mar-22,"4,188.82","4,271.05","4,187.90","4,262.45","4,262.45","4,331,170,000"
14-Mar-22,"4,202.75","4,247.57","4,161.72","4,173.11","4,173.11","4,757,600,000"
11-Mar-22,"4,279.50","4,291.01","4,200.49","4,204.31","4,204.31","3,877,430,000"
10-Mar-22,"4,252.55","4,268.28","4,209.80","4,259.52","4,259.52","4,008,690,000"
9-Mar-22,"4,223.10","4,299.40","4,223.10","4,277.88","4,277.88","4,220,180,000"
8-Mar-22,"4,202.66","4,276.94","4,157.87","4,170.70","4,170.70","6,237,000,000"
7-Mar-22,"4,327.01","4,327.01","4,199.85","4,201.09","4,201.09","5,506,330,000"
4-Mar-22,"4,342.12","4,342.12","4,284.98","4,328.87","4,328.87","4,558,250,000"
3-Mar-22,"4,401.31","4,416.78","4,345.56","4,363.49","4,363.49","4,062,080,000"
2-Mar-22,"4,322.56","4,401.48","4,322.56","4,386.54","4,386.54","4,409,090,000"
1-Mar-22,"4,363.14","4,378.45","4,279.54","4,306.26","4,306.26","4,679,400,000"
28-Feb-22,"4,354.17","4,388.84","4,315.12","4,373.94","4,373.94","4,594,010,000"
25-Feb-22,"4,298.38","4,385.34","4,286.83","4,384.65","4,384.65","3,941,780,000"
24-Feb-22,"4,155.77","4,294.73","4,114.65","4,288.70","4,288.70","5,070,560,000"
23-Feb-22,"4,324.93","4,341.51","4,221.51","4,225.50","4,225.50","3,814,340,000"
22-Feb-22,"4,332.74","4,362.12","4,267.11","4,304.76","4,304.76","4,007,780,000"
18-Feb-22,"4,384.57","4,394.60","4,327.22","4,348.87","4,348.87","3,871,340,000"
17-Feb-22,"4,456.06","4,456.06","4,373.81","4,380.26","4,380.26","3,596,510,000"
16-Feb-22,"4,455.75","4,489.55","4,429.68","4,475.01","4,475.01","3,478,750,000"
15-Feb-22,"4,429.28","4,472.77","4,429.28","4,471.07","4,471.07","3,363,200,000"
14-Feb-22,"4,412.61","4,426.22","4,364.84","4,401.67","4,401.67","3,466,170,000"
11-Feb-22,"4,506.27","4,526.33","4,401.41","4,418.64","4,418.64","4,164,960,000"
10-Feb-22,"4,553.24","4,588.92","4,484.31","4,504.08","4,504.08","4,490,500,000"
9-Feb-22,"4,547.00","4,590.03","4,547.00","4,587.18","4,587.18","3,662,810,000"
8-Feb-22,"4,480.02","4,531.32","4,465.40","4,521.54","4,521.54","3,509,330,000"
7-Feb-22,"4,505.75","4,521.86","4,471.47","4,483.87","4,483.87","3,291,600,000"
4-Feb-22,"4,482.79","4,539.66","4,451.50","4,500.53","4,500.53","3,673,700,000"
3-Feb-22,"4,535.41","4,542.88","4,470.39","4,477.44","4,477.44","3,596,830,000"
2-Feb-22,"4,566.39","4,595.31","4,544.32","4,589.38","4,589.38","3,777,170,000"
1-Feb-22,"4,519.57","4,550.49","4,483.53","4,546.54","4,546.54","3,796,450,000"
31-Jan-22,"4,431.79","4,516.89","4,414.02","4,515.55","4,515.55","4,001,950,000"
28-Jan-22,"4,336.19","4,432.72","4,292.46","4,431.85","4,431.85","3,936,030,000"
